,Bin 7,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.4137,0.0296,/,/,0.4137,0.0296
1,S3,0.0205,0.0108,/,/,0.0205,0.0009
2,S4,-0.2046,0.0493,-0.2504,0.3756,-0.2099,0.0229
3,S5,-0.2331,0.029,-0.161,0.3522,-0.2276,0.036
4,Afb,0.324,0.0306,0.4976,0.1653,0.3511,0.0868
5,S7,0.0791,0.0616,-0.058,0.3784,0.0599,0.0685
6,S8,-0.0408,0.0758,-0.0986,0.4157,-0.0498,0.0289
7,Aim,0.0021,0.0617,/,/,0.0021,0.0617
