,Bin5,P-Estimate,Uncertainty
0,P1,-0.05547147640853064,0.033825576818191753
1,P2,0.2205757570369074,0.028851172320483755
2,P'4,-0.2564565010929078,0.07088889571729096
3,P'5,-0.2620930395586122,0.09097402858367572
4,P'6,-0.00847433455363569,0.10400911276780479
5,P'8,-0.12380183214690456,0.08084053037993523
