,Bin 6,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.3326,0.0252,/,/,0.3326,0.0252
1,S3,0.035,0.0127,/,/,0.035,0.002
2,S4,-0.1006,0.0515,-0.1412,0.3211,-0.1063,0.0203
3,S5,-0.08,0.0521,-0.1873,0.2744,-0.0972,0.0536
4,Afb,0.0867,0.0313,0.118,0.1481,0.0922,0.0156
5,S7,0.0578,0.0683,-0.0225,0.3092,0.0433,0.0402
6,S8,-0.0225,0.0411,-0.0706,0.336,-0.0277,0.0241
7,Aim,-0.0031,0.051,/,/,-0.0031,0.051
