,Bin 2,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.6999,0.0368,/,/,0.6999,0.0368
1,S3,-0.0419,0.0427,/,/,-0.0419,0.0268
2,S4,-0.1637,0.0985,-0.1166,0.4043,-0.1544,0.0235
3,S5,0.0,0.0585,-0.0175,0.3846,-0.0023,0.0087
4,Afb,0.0374,0.052,-0.0044,0.1842,0.0282,0.0209
5,S7,0.0,0.0578,-0.0291,0.3818,-0.0038,0.0146
6,S8,0.0,0.0655,0.0069,0.4365,0.0009,0.0034
7,Aim,-0.0713,0.0784,/,/,-0.0713,0.0784
