,Bin 4,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.5192,0.0307,/,/,0.5192,0.0307
1,S3,-0.0424,0.0123,/,/,-0.0424,0.0039
2,S4,-0.2188,0.0739,-0.2064,0.3447,-0.2166,0.0062
3,S5,-0.2183,0.0392,-0.2628,0.29,-0.2236,0.0223
4,Afb,0.1827,0.0382,0.1752,0.1646,0.1813,0.0038
5,S7,-0.0535,0.0721,-0.0195,0.3478,-0.0476,0.017
6,S8,-0.0186,0.0881,0.0344,0.4016,-0.009,0.0265
7,Aim,-0.0144,0.0623,/,/,-0.0144,0.0623
