,Bin 3,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.5751,0.032,/,/,0.5751,0.032
1,S3,0.0754,0.0121,/,/,0.0754,0.0011
2,S4,-0.1739,0.0936,-0.2349,0.3046,-0.1883,0.0305
3,S5,-0.1852,0.0531,-0.2542,0.2633,-0.1968,0.0345
4,Afb,0.1369,0.0408,0.1496,0.149,0.1397,0.0063
5,S7,0.051,0.0505,0.0508,0.3286,0.0509,0.0001
6,S8,-0.0536,0.0661,-0.0415,0.3458,-0.0516,0.0061
7,Aim,-0.0348,0.0643,/,/,-0.0348,0.0643
