,Bin 9,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.3574,0.0192,/,/,0.3574,0.0192
1,S3,0.0117,0.0089,/,/,0.0117,0.0009
2,S4,-0.1281,0.0393,-0.1492,0.2011,-0.1315,0.0105
3,S5,-0.1389,0.047,-0.1624,0.1761,-0.1439,0.0117
4,Afb,0.2015,0.0225,0.2179,0.092,0.2047,0.0082
5,S7,0.0291,0.0427,-0.0283,0.1937,0.0188,0.0287
6,S8,-0.0391,0.0542,0.0018,0.2212,-0.0311,0.0204
7,Aim,0.005,0.039,/,/,0.005,0.039
