,Bin 0,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.4645,0.0327,/,/,0.4645,0.0327
1,S3,0.0609,0.0423,/,/,0.0609,0.0413
2,S4,0.0541,0.0352,0.069,0.3598,0.0555,0.0075
3,S5,0.1223,0.0722,0.1245,0.3354,0.1227,0.0011
4,Afb,-0.0004,0.0496,-0.0604,0.1462,-0.0156,0.03
5,S7,0.0,0.0449,-0.1905,0.2696,-0.0272,0.0952
6,S8,-0.0785,0.0816,-0.0432,0.3365,-0.0716,0.0177
7,Aim,0.0229,0.0622,/,/,0.0229,0.0622
