,Bin 8,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.6298,0.0214,/,/,0.6298,0.0214
1,S3,0.0256,0.0074,/,/,0.0256,0.0002
2,S4,-0.1774,0.0701,-0.1066,0.2193,-0.1602,0.0354
3,S5,-0.0646,0.0497,-0.124,0.1922,-0.0768,0.0297
4,Afb,0.0531,0.0294,0.0302,0.0993,0.0479,0.0115
5,S7,0.0384,0.0526,0.0436,0.2159,0.0394,0.0026
6,S8,-0.042,0.0659,-0.0197,0.2315,-0.037,0.0111
7,Aim,-0.0107,0.0434,/,/,-0.0107,0.0434
