,Bin 1,NLL Est,NLL 1σ ,Counting Est,Count 1σ,Mean,Final 1σ
0,Fl,0.6849,0.0423,/,/,0.6849,0.0423
1,S3,0.0285,0.014,/,/,0.0285,0.0001
2,S4,-0.1914,0.1237,-0.211,0.4911,-0.1954,0.0098
3,S5,0.1164,0.0963,-0.0199,0.496,0.0943,0.0682
4,Afb,-0.1398,0.0648,-0.1642,0.2346,-0.1451,0.0122
5,S7,0.0629,0.1044,0.0995,0.5368,0.0689,0.0183
6,S8,-0.0742,0.1688,-0.0234,0.5544,-0.0623,0.0254
7,Aim,0.1081,0.0869,/,/,0.1081,0.0869
