,BIN 8,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.63,0.021,/,/,/,0.021,0.007,0.63,0.031
1,S3,0.026,0.007,/,/,/,0.031,0.026,0.026,0.041
2,S4,-0.177,0.07,-0.132,0.075,0.023,0.032,0.009,-0.156,0.081
3,S5,-0.065,0.05,-0.089,0.09,0.012,0.023,0.005,-0.073,0.056
4,Afb,0.053,0.029,0.022,0.099,0.015,0.022,0.005,0.046,0.04
5,S7,0.038,0.053,0.007,0.094,0.016,0.028,0.004,0.027,0.062
6,S8,-0.042,0.066,-0.043,0.077,0.0,0.024,0.002,-0.042,0.07
7,Aim,-0.011,0.043,/,/,/,0.032,0.0,-0.011,0.054
