,BIN 9,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.357,0.019,/,/,/,0.026,0.041,0.357,0.052
1,S3,0.012,0.009,/,/,/,0.038,0.021,0.012,0.044
2,S4,-0.128,0.039,-0.14,0.069,0.006,0.027,0.012,-0.133,0.05
3,S5,-0.139,0.047,-0.142,0.081,0.001,0.03,0.005,-0.14,0.056
4,Afb,0.202,0.023,0.222,0.091,0.01,0.036,0.005,0.206,0.044
5,S7,0.029,0.043,0.001,0.086,0.014,0.027,0.008,0.02,0.053
6,S8,-0.039,0.054,-0.005,0.072,0.017,0.03,0.007,-0.024,0.064
7,Aim,0.005,0.039,/,/,/,0.03,0.0,0.005,0.049
