,Bin5,P-Estimate,Uncertainty
0,P1,-0.055,0.132
1,P2,0.221,0.055
2,P3,0.043,0.091
3,P'4,-0.275,0.11
4,P'5,-0.254,0.122
5,P'6,-0.011,0.121
6,P'8,-0.084,0.134
