,Bin1,P-Estimate,Uncertainty
0,P1,0.181,0.343
1,P2,-0.296,0.176
2,P3,-0.343,0.321
3,P'4,-0.359,0.357
4,P'5,0.196,0.341
5,P'6,0.205,0.283
6,P'8,0.041,0.453
