,Bin2,P-Estimate,Uncertainty
0,P1,-0.279,0.495
1,P2,0.083,0.164
2,P3,0.237,0.32
3,P'4,-0.402,0.264
4,P'5,-0.07,0.229
5,P'6,-0.009,0.17
6,P'8,0.014,0.197
