,BIN 6,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.333,0.025,/,/,/,0.023,0.03,0.333,0.045
1,S3,0.035,0.013,/,/,/,0.054,0.031,0.035,0.063
2,S4,-0.101,0.052,-0.098,0.112,0.001,0.045,0.007,-0.1,0.069
3,S5,-0.08,0.052,-0.091,0.134,0.005,0.04,0.008,-0.083,0.066
4,Afb,0.087,0.031,0.079,0.147,0.004,0.033,0.005,0.085,0.046
5,S7,0.058,0.068,-0.004,0.139,0.031,0.044,0.006,0.038,0.087
6,S8,-0.022,0.041,-0.081,0.113,0.029,0.039,0.009,-0.038,0.065
7,Aim,-0.003,0.051,/,/,/,0.043,0.0,-0.003,0.067
