,Bin8,P-Estimate,Uncertainty
0,P1,0.138,0.223
1,P2,0.096,0.073
2,P3,0.029,0.146
3,P'4,-0.322,0.168
4,P'5,-0.152,0.117
5,P'6,0.056,0.128
6,P'8,-0.088,0.146
