,Bin6,P-Estimate,Uncertainty
0,P1,0.105,0.19
1,P2,0.087,0.047
2,P3,0.005,0.1
3,P'4,-0.212,0.147
4,P'5,-0.176,0.141
5,P'6,0.08,0.185
6,P'8,-0.081,0.137
