,Bin0,P-Estimate,Uncertainty
0,P1,0.227,0.23
1,P2,-0.0,0.076
2,P3,-0.043,0.131
3,P'4,0.121,0.127
4,P'5,0.237,0.154
5,P'6,-0.126,0.273
6,P'8,-0.168,0.182
