,BIN 2,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.7,0.037,/,/,/,0.032,0.008,0.7,0.049
1,S3,-0.042,0.043,/,/,/,0.06,0.008,-0.042,0.074
2,S4,-0.164,0.099,-0.213,0.136,0.024,0.063,0.007,-0.184,0.12
3,S5,0.0,0.058,-0.122,0.166,0.061,0.06,0.013,-0.032,0.105
4,Afb,0.037,0.052,-0.039,0.184,0.038,0.034,0.009,0.021,0.073
5,S7,0.0,0.058,-0.017,0.175,0.009,0.051,0.005,-0.004,0.078
6,S8,0.0,0.065,0.021,0.148,0.01,0.061,0.008,0.006,0.09
7,Aim,-0.071,0.078,/,/,/,0.054,0.0,-0.071,0.095
