,BIN 0,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.464,0.033,/,/,/,0.021,0.009,0.464,0.04
1,S3,0.061,0.042,/,/,/,0.038,0.022,0.061,0.061
2,S4,0.054,0.035,0.082,0.126,0.014,0.051,0.003,0.06,0.063
3,S5,0.122,0.072,0.11,0.153,0.006,0.024,0.002,0.118,0.076
4,Afb,-0.0,0.05,0.015,0.154,0.008,0.034,0.009,0.003,0.061
5,S7,0.0,0.045,-0.249,0.133,0.124,0.032,0.006,-0.063,0.136
6,S8,-0.078,0.082,-0.091,0.119,0.006,0.039,0.005,-0.084,0.091
7,Aim,0.023,0.062,/,/,/,0.033,0.0,0.023,0.07
