,BIN 7,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.414,0.03,/,/,/,0.034,0.043,0.414,0.062
1,S3,0.02,0.011,/,/,/,0.038,0.004,0.02,0.04
2,S4,-0.205,0.049,-0.144,0.143,0.03,0.051,0.008,-0.189,0.077
3,S5,-0.233,0.029,-0.22,0.161,0.006,0.041,0.013,-0.231,0.053
4,Afb,0.324,0.031,0.394,0.189,0.035,0.036,0.013,0.334,0.061
5,S7,0.079,0.062,0.061,0.18,0.009,0.044,0.015,0.075,0.078
6,S8,-0.041,0.076,0.014,0.151,0.028,0.031,0.011,-0.022,0.087
7,Aim,0.002,0.062,/,/,/,0.039,0.0,0.002,0.073
