,BIN 3,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.575,0.032,/,/,/,0.023,0.008,0.575,0.04
1,S3,0.075,0.012,/,/,/,0.042,0.018,0.075,0.048
2,S4,-0.174,0.094,-0.195,0.11,0.011,0.039,0.005,-0.184,0.102
3,S5,-0.185,0.053,-0.203,0.13,0.009,0.038,0.01,-0.19,0.067
4,Afb,0.137,0.041,0.09,0.149,0.023,0.032,0.012,0.127,0.058
5,S7,0.051,0.051,-0.03,0.14,0.041,0.03,0.006,0.029,0.072
6,S8,-0.054,0.066,-0.044,0.116,0.005,0.036,0.004,-0.05,0.075
7,Aim,-0.035,0.064,/,/,/,0.044,0.0,-0.035,0.078
