,Bin9,P-Estimate,Uncertainty
0,P1,0.036,0.138
1,P2,0.209,0.048
2,P3,-0.008,0.076
3,P'4,-0.277,0.106
4,P'5,-0.292,0.119
5,P'6,0.042,0.11
6,P'8,-0.051,0.135
