,BIN 1,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.685,0.042,/,/,/,0.03,0.013,0.685,0.054
1,S3,0.028,0.014,/,/,/,0.051,0.012,0.028,0.054
2,S4,-0.191,0.124,-0.13,0.184,0.031,0.103,0.018,-0.167,0.165
3,S5,0.116,0.096,0.03,0.232,0.043,0.117,0.01,0.091,0.158
4,Afb,-0.14,0.065,-0.068,0.238,0.036,0.027,0.011,-0.124,0.08
5,S7,0.063,0.104,0.17,0.245,0.054,0.045,0.037,0.095,0.131
6,S8,-0.074,0.169,0.13,0.2,0.102,0.062,0.039,0.019,0.21
7,Aim,0.108,0.087,/,/,/,0.049,0.0,0.108,0.1
