,Bin4,P-Estimate,Uncertainty
0,P1,-0.176,0.181
1,P2,0.253,0.085
2,P3,0.03,0.155
3,P'4,-0.373,0.197
4,P'5,-0.466,0.136
5,P'6,-0.137,0.176
6,P'8,-0.045,0.192
