,Bin3,P-Estimate,Uncertainty
0,P1,0.355,0.227
1,P2,0.215,0.093
2,P3,0.082,0.184
3,P'4,-0.372,0.207
4,P'5,-0.385,0.137
5,P'6,0.06,0.145
6,P'8,-0.102,0.153
