,BIN 5,NLL Est,NLL std ,Count Est,Count std,NLL-Count std,CrBall std,Acc std,Mean,Final std
0,Fl,0.363,0.023,/,/,/,0.03,0.043,0.363,0.057
1,S3,-0.018,0.011,/,/,/,0.037,0.015,-0.018,0.042
2,S4,-0.12,0.034,-0.16,0.078,0.02,0.032,0.009,-0.132,0.051
3,S5,-0.129,0.044,-0.106,0.095,0.011,0.035,0.006,-0.122,0.058
4,Afb,0.211,0.027,0.209,0.105,0.001,0.04,0.01,0.21,0.049
5,S7,-0.0,0.05,-0.015,0.097,0.007,0.028,0.005,-0.005,0.058
6,S8,-0.063,0.039,0.009,0.083,0.036,0.035,0.009,-0.04,0.064
7,Aim,-0.027,0.046,/,/,/,0.035,0.0,-0.027,0.058
